"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-28 18:04:04",1761674644295,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",-1,"jvqr5-1761674643171-14c7797b8763","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",-1,"iad1",-1,-1,"GeminiService initialized with default API key (first 6 chars): AIzaSy
GeminiService using model: gemini-2.0-flash-001
Warning: Cannot load ""@napi-rs/canvas"" package: ""Error: Cannot find module '@napi-rs/canvas'
Require stack:
- /var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs"".
Warning: Cannot polyfill `DOMMatrix`, rendering may be broken.
Warning: Cannot polyfill `ImageData`, rendering may be broken.
Warning: Cannot polyfill `Path2D`, rendering may be broken.
ReferenceError: DOMMatrix is not defined
    at Module.<anonymous> (/var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs:1:192019)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1435)
    at A.l._compile (/opt/rust/bytecode.js:2:3160)
    at Object..js (node:internal/modules/cjs/loader:1820:10)
    at Module.load (node:internal/modules/cjs/loader:1423:32)
    at Function.<anonymous> (node:internal/modules/cjs/loader:1246:12)
    at /opt/rust/nodejs.js:2:13528
    at Function.Vr (/opt/rust/nodejs.js:2:13906)
    at Ue.e.<computed>.Be._load (/opt/rust/nodejs.js:2:13498)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVHRET37AHMC1AJX8GFY0","",-1
"2025-10-28 18:04:03",1761674643214,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",500,"jvqr5-1761674643171-14c7797b8763","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",1066,"iad1",138,2048,"","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVHRET37AHMC1AJX8GFY0","",1
"2025-10-28 18:04:02",1761674642988,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",-1,"hclmx-1761674641957-721bdc13cf8a","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",-1,"iad1",-1,-1,"GeminiService initialized with default API key (first 6 chars): AIzaSy
GeminiService using model: gemini-2.0-flash-001
Warning: Cannot load ""@napi-rs/canvas"" package: ""Error: Cannot find module '@napi-rs/canvas'
Require stack:
- /var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs"".
Warning: Cannot polyfill `DOMMatrix`, rendering may be broken.
Warning: Cannot polyfill `ImageData`, rendering may be broken.
Warning: Cannot polyfill `Path2D`, rendering may be broken.
ReferenceError: DOMMatrix is not defined
    at Module.<anonymous> (/var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs:1:192019)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1435)
    at A.l._compile (/opt/rust/bytecode.js:2:3160)
    at Object..js (node:internal/modules/cjs/loader:1820:10)
    at Module.load (node:internal/modules/cjs/loader:1423:32)
    at Function.<anonymous> (node:internal/modules/cjs/loader:1246:12)
    at /opt/rust/nodejs.js:2:13528
    at Function.Vr (/opt/rust/nodejs.js:2:13906)
    at Ue.e.<computed>.Be._load (/opt/rust/nodejs.js:2:13498)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVGJF1MKB1D884WW8PF0T","",-1
"2025-10-28 18:04:01",1761674641999,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",500,"hclmx-1761674641957-721bdc13cf8a","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",970,"iad1",140,2048,"","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVGJF1MKB1D884WW8PF0T","",1
"2025-10-28 18:04:01",1761674641105,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",-1,"xrkhd-1761674640108-9819ccfc1020","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",-1,"iad1",-1,-1,"GeminiService initialized with default API key (first 6 chars): AIzaSy
GeminiService using model: gemini-2.0-flash-001
Warning: Cannot load ""@napi-rs/canvas"" package: ""Error: Cannot find module '@napi-rs/canvas'
Require stack:
- /var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs"".
Warning: Cannot polyfill `DOMMatrix`, rendering may be broken.
Warning: Cannot polyfill `ImageData`, rendering may be broken.
Warning: Cannot polyfill `Path2D`, rendering may be broken.
ReferenceError: DOMMatrix is not defined
    at Module.<anonymous> (/var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs:1:192019)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1435)
    at A.l._compile (/opt/rust/bytecode.js:2:3160)
    at Object..js (node:internal/modules/cjs/loader:1820:10)
    at Module.load (node:internal/modules/cjs/loader:1423:32)
    at Function.<anonymous> (node:internal/modules/cjs/loader:1246:12)
    at /opt/rust/nodejs.js:2:13528
    at Function.Vr (/opt/rust/nodejs.js:2:13906)
    at Ue.e.<computed>.Be._load (/opt/rust/nodejs.js:2:13498)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVERRH43FZHBAQ55KQZ09","",-1
"2025-10-28 18:04:00",1761674640152,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",500,"xrkhd-1761674640108-9819ccfc1020","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",937,"iad1",133,2048,"","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVERRH43FZHBAQ55KQZ09","",1
"2025-10-28 18:03:59",1761674639847,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",-1,"lvqn5-1761674638871-6ae7ee697c31","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",-1,"iad1",-1,-1,"GeminiService initialized with default API key (first 6 chars): AIzaSy
GeminiService using model: gemini-2.0-flash-001
Warning: Cannot load ""@napi-rs/canvas"" package: ""Error: Cannot find module '@napi-rs/canvas'
Require stack:
- /var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs"".
Warning: Cannot polyfill `DOMMatrix`, rendering may be broken.
Warning: Cannot polyfill `ImageData`, rendering may be broken.
Warning: Cannot polyfill `Path2D`, rendering may be broken.
ReferenceError: DOMMatrix is not defined
    at Module.<anonymous> (/var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs:1:192019)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1435)
    at A.l._compile (/opt/rust/bytecode.js:2:3160)
    at Object..js (node:internal/modules/cjs/loader:1820:10)
    at Module.load (node:internal/modules/cjs/loader:1423:32)
    at Function.<anonymous> (node:internal/modules/cjs/loader:1246:12)
    at /opt/rust/nodejs.js:2:13528
    at Function.Vr (/opt/rust/nodejs.js:2:13906)
    at Ue.e.<computed>.Be._load (/opt/rust/nodejs.js:2:13498)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVDJ0RRJYP7B760DYMGWF","",-1
"2025-10-28 18:03:58",1761674638948,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",-1,"px8vp-1761674637949-778309dc251a","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",-1,"iad1",-1,-1,"GeminiService initialized with default API key (first 6 chars): AIzaSy
GeminiService using model: gemini-2.0-flash-001
Warning: Cannot load ""@napi-rs/canvas"" package: ""Error: Cannot find module '@napi-rs/canvas'
Require stack:
- /var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs"".
Warning: Cannot polyfill `DOMMatrix`, rendering may be broken.
Warning: Cannot polyfill `ImageData`, rendering may be broken.
Warning: Cannot polyfill `Path2D`, rendering may be broken.
ReferenceError: DOMMatrix is not defined
    at Module.<anonymous> (/var/task/node_modules/pdf-parse/dist/pdf-parse/cjs/index.cjs:1:192019)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1435)
    at A.l._compile (/opt/rust/bytecode.js:2:3160)
    at Object..js (node:internal/modules/cjs/loader:1820:10)
    at Module.load (node:internal/modules/cjs/loader:1423:32)
    at Function.<anonymous> (node:internal/modules/cjs/loader:1246:12)
    at /opt/rust/nodejs.js:2:13528
    at Function.Vr (/opt/rust/nodejs.js:2:13906)
    at Ue.e.<computed>.Be._load (/opt/rust/nodejs.js:2:13498)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVCNA6D176RYVBF9FTFPY","",-1
"2025-10-28 18:03:58",1761674638912,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",500,"lvqn5-1761674638871-6ae7ee697c31","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",918,"iad1",138,2048,"","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVDJ0RRJYP7B760DYMGWF","",1
"2025-10-28 18:03:57",1761674637994,"rationaleiq-backend-pd7ttyiq9.vercel.app/favicon.png","GET","",500,"px8vp-1761674637949-778309dc251a","vercel-favicon/1.0","error","production","main","","lambda","/","rationaleiq-backend-pd7ttyiq9.vercel.app","rationaleiq-backend-pd7ttyiq9.vercel.app","dpl_CDb7xAAXFQR5v5CPT9QHJjFPFqbe",939,"iad1",140,2048,"","prj_Zmyyr4BrGzu4A3A2pc3Wy3cR4C4g","","","01K8NZVCNA6D176RYVBF9FTFPY","",1
